Date,Price,Open,High,Low,Volume,Chg%
8-Jun-20,75.4,75.56,75.673,75.391,5.43K,-0.21%
5-Jun-20,75.56,75.44,75.727,75.325,5.18K,0.13%
4-Jun-20,75.459,75.355,75.645,75.337,4.88K,0.18%
3-Jun-20,75.325,75.05,75.553,75.008,5.41K,0.30%
2-Jun-20,75.1,75.545,75.62,74.973,6.13K,-0.54%
1-Jun-20,75.505,75.47,75.775,75.272,5.28K,-0.13%
29-May-20,75.605,75.7,75.742,75.44,4.31K,-0.07%
28-May-20,75.66,75.804,75.905,75.634,5.41K,-0.34%
27-May-20,75.92,75.547,75.971,75.52,4.51K,0.61%
26-May-20,75.459,75.843,75.855,75.407,1.83K,-0.56%
25-May-20,75.887,75.95,76.11,75.854,0.31K,-0.08%
22-May-20,75.95,75.655,76.023,75.625,4.41K,0.44%
21-May-20,75.62,75.545,75.826,75.398,3.45K,0.09%
20-May-20,75.555,75.71,75.87,75.468,4.51K,-0.12%
19-May-20,75.645,75.61,75.808,75.55,3.77K,-0.07%
18-May-20,75.7,75.83,76.062,75.632,3.18K,-0.17%
15-May-20,75.83,75.51,75.941,75.405,3.56K,0.44%
14-May-20,75.495,75.441,75.699,75.341,4.38K,0.17%
13-May-20,75.365,75.275,75.507,75.048,3.71K,0.40%
12-May-20,75.062,75.945,75.967,75.049,4.05K,-1.09%
11-May-20,75.888,75.535,75.925,75.45,5.78K,0.47%
8-May-20,75.535,75.588,75.645,75.262,3.32K,-0.34%
7-May-20,75.794,76.1,76.145,75.773,0.48K,-0.41%
6-May-20,76.105,75.805,76.108,75.63,3.51K,0.52%
5-May-20,75.71,75.64,75.868,75.471,3.75K,0.09%
4-May-20,75.64,75.75,75.815,75.574,3.44K,-0.14%
1-May-20,75.749,75.319,75.804,75.293,0.54K,0.89%
30-Apr-20,75.08,75.404,75.429,74.909,3.69K,-0.50%
29-Apr-20,75.455,76.07,76.109,75.455,3.28K,-0.80%
28-Apr-20,76.065,76.124,76.449,75.813,2.52K,-0.22%
27-Apr-20,76.229,76.27,76.353,76.019,2.45K,-0.05%
24-Apr-20,76.27,75.962,76.481,75.817,2.77K,0.49%
23-Apr-20,75.895,76.465,76.465,75.824,2.86K,-0.67%
22-Apr-20,76.41,76.93,77.01,76.41,0.83K,-0.73%
21-Apr-20,76.975,76.59,77.004,76.583,0.93K,0.52%
